title harbour seal																												
Aa4																												
Hg6.1																												
Hg6.3																												
Hg8.9																												
Hg8.10																												
Hgdii																												
Hl2																												
Hl15																												
Hl20																												
Lw7																												
Lw20																												
Lc28																												
M11a																												
OrrFCB2																												
OrrFCB7																												
OrrFCB8																												
Pv2																												
Pv3																												
Pv9																												
Pv10																												
Pv11																												
Pvc30																												
Ssl301																												
Zcwa12																												
Zcwd02																												
Zcwf07																												
ZcCgDh1.8																												
63	,	3030	5060	3030	2020	2020	3030	2030	7070	3030	2060	2020	5050	2020	6060	6060	3060	2030	5861	2020	2020	6060	2050	2030	4040	2030	2020	4040
64	,	3030	6060	3030	2020	5050	3030	2030	7080	3030	2060	2030	5050	2020	3030	3060	5050	3030	6065	2020	2020	3030	2050	3030	3030	2020	2020	4040
65	,	3030	6060	2030	2020	2050	3030	2020	7070	3030	6060	2030	5050	2020	3030	3060	3050	3030	6368	2020	2020	3060	5050	2050	4040	2020	2020	4040
66	,	3030	6060	3030	2020	2050	3030	2020	7070	0000	5060	0000	5050	2020	3060	2030	3050	3030	0000	2020	2020	3060	2020	3030	4040	2020	0000	0000
67	,	3030	6060	3030	2030	2050	3030	3030	7070	3030	5060	3030	4050	2020	2030	3060	3050	0000	5866	2020	2020	0000	2020	2030	3030	2030	2040	4040
68	,	3030	5050	0000	2020	2050	0000	2030	7070	3030	5050	2030	5050	2020	2060	6060	3030	3040	5859	2020	2020	0000	2020	2050	4040	0000	2020	4040
69	,	3030	5050	2030	2020	2050	3030	2020	7070	3040	5050	3030	5050	2020	3060	3030	3030	0000	5459	2020	2020	3060	5050	2050	4040	2030	2020	4040
70	,	3030	0000	0000	2020	2050	3030	2020	7070	0000	5060	0000	0000	2020	3030	3030	0000	3030	5971	2020	2020	3060	2050	0000	3040	0000	0000	0000
71	,	3030	6060	3030	2020	2050	3030	2030	7070	3040	5060	3030	5050	2020	3030	3060	3050	3030	5663	2020	2020	6060	2050	2020	3040	2020	2040	4040
72	,	3030	5050	2030	2020	2020	3030	2020	7070	3030	2050	3030	0000	2020	3030	3060	3050	3030	6163	2020	2020	3060	2020	0000	3030	2020	0000	4040
73	,	3030	5060	3030	2030	5050	2030	2020	7070	3030	2050	2030	5050	2020	3060	3030	3050	3030	6172	2020	2020	0000	2050	2020	4040	2020	2040	2040
74	,	3030	6060	3030	2030	2020	3030	2030	7070	3030	2050	3030	5050	2020	3060	3030	3030	0000	5461	2020	2020	3030	2050	2050	3030	2020	2020	4040
75	,	3030	6060	3030	2020	2050	3030	2020	7080	3030	5050	3030	5050	2020	3060	3030	3030	3030	5860	2020	2020	6060	2050	2030	4040	2020	2020	4040
76	,	3030	6060	3030	0000	2050	3030	2030	7080	3040	2050	2030	5050	2020	3030	3030	3050	3030	5859	2020	2020	3030	2050	3030	3040	2020	2020	2040
77	,	3030	6060	3030	2020	2050	3030	2030	7070	3040	5060	3030	5050	2020	3030	3030	5050	3030	6060	0000	2020	0000	2020	3030	3040	2030	2020	2040
78	,	3030	5060	0000	0000	2050	3030	3030	7070	3030	5050	3030	5050	2020	3060	3060	3050	3030	5769	2020	2030	0000	2020	2050	3040	0000	2040	4040
79	,	3030	6060	2030	2030	5050	3030	0000	7070	3030	5050	3030	0000	2020	3030	3030	0000	0000	5862	2020	2020	6060	2020	2020	4050	0000	2020	4040
80	,	3030	6060	2030	2030	5050	3040	2030	7070	3030	2050	3030	4050	2020	3030	3060	5060	0000	6071	2020	2020	0000	2020	2030	4040	0000	2020	4040
81	,	3030	6060	2030	2020	2020	3030	2020	7070	3040	2020	2030	4050	2020	3060	3060	3050	3030	5562	2020	2020	0000	2020	0000	3030	2020	2040	4040
82	,	3030	6060	2020	2020	2020	3030	2020	7070	3030	3050	0000	5050	2020	3060	3060	3030	3030	0000	2020	2020	6060	2050	2050	3040	2020	2040	4040
83	,	3030	5060	3040	2030	5050	3030	2030	7070	3030	5060	2030	5050	2020	6060	6060	5050	0000	6367	2020	2020	0000	3050	2050	4040	2020	2020	2040
84	,	3030	6060	2030	2030	2020	3030	2030	7080	3040	2020	3030	5050	2020	3060	3030	3050	3030	0000	2020	2020	3060	2050	2050	2050	2020	2040	4040
