id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
LOV_005 Lovushki_Island 380/388 176/186 91/103 134/158 199/199 234/236 160/160 380/388
LOV_006 Lovushki_Island 380/380 178/178 87/103 142/164 185/195 NA 160/160 380/380
LOV_007 Lovushki_Island NA 174/184 117/117 158/160 187/187 234/234 160/178 NA
LOV_008 Lovushki_Island 392/394 172/182 103/117 160/162 NA 228/236 160/160 392/394
LOV_009 Lovushki_Island 380/392 174/178 99/105 144/162 191/195 238/238 160/184 380/392
LOV_010 Lovushki_Island 382/394 176/178 103/117 158/164 NA 238/240 160/160 382/394
LOV_011 Lovushki_Island 376/380 172/174 95/117 148/162 185/193 236/238 160/160 376/380
MED_001 Medny_Island 380/394 168/174 85/99 142/160 191/201 250/254 160/160 380/394
MED_002 Medny_Island NA NA 87/91 160/162 NA NA 160/160 NA
MED_004 Medny_Island 386/392 178/182 99/99 158/162 NA 234/234 160/160 386/392
MED_005 Medny_Island NA NA 99/103 NA NA NA NA NA
MED_006 Medny_Island NA 160/172 115/117 NA NA NA NA NA
MED_007 Medny_Island 386/394 NA NA 142/166 NA NA 156/160 386/394
MED_009 Medny_Island 380/384 NA 103/113 158/160 NA 236/246 160/174 380/384
MED_011 Medny_Island 380/380 170/170 99/117 152/156 NA NA 160/160 380/380
MED_012 Medny_Island NA NA NA 140/142 185/185 NA NA NA
MED_013 Medny_Island NA NA 103/107 134/160 185/191 NA NA NA
MED_014 Medny_Island NA 168/170 107/113 160/166 177/183 230/236 160/178 NA
MED_015 Medny_Island NA NA NA NA NA 232/234 160/160 NA
MED_016 Medny_Island 380/382 NA NA 160/160 NA NA 160/160 380/382
MED_017 Medny_Island NA NA NA 158/164 191/201 NA NA NA
MED_018 Medny_Island NA NA 99/99 NA NA NA 160/184 NA
MED_019 Medny_Island NA NA 115/115 156/168 NA NA 160/160 NA
MED_021 Medny_Island 382/386 168/168 91/93 140/158 185/189 236/240 160/160 382/386
MED_022 Medny_Island NA NA NA 134/142 175/193 234/236 160/160 NA
MED_023 Medny_Island 382/390 172/172 123/125 140/160 191/197 228/234 160/160 382/390
MED_024 Medny_Island 380/382 174/182 99/107 156/156 199/199 234/234 160/174 380/382
MED_025 Medny_Island 382/386 174/182 91/103 142/160 185/187 234/238 176/176 382/386
MED_027 Medny_Island NA NA 117/125 NA NA NA NA NA
MED_029 Medny_Island NA NA 97/117 156/158 189/195 234/248 160/160 NA
