id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
754_M_P_y1984 Lake_Saimaa 114/124 104/104 134/161 152/152 202/202 186/188 200/200 137/137 108/118 109/109 177/181 139/149 161/161 145/145 156/169 123/123 114/124
774_F_P_y1984 Lake_Saimaa 114/124 104/104 161/161 152/152 200/200 186/186 200/200 137/137 112/118 109/109 171/181 149/149 161/161 133/145 156/156 123/123 114/124
890_F_P_y1986 Lake_Saimaa 124/124 100/104 134/134 152/152 200/202 186/188 200/200 137/137 112/118 109/109 181/181 149/149 161/161 133/145 156/157 123/123 124/124
1079_F_P_y1986 Lake_Saimaa 124/124 104/104 134/161 152/152 202/202 186/186 200/200 137/137 112/118 109/109 171/181 149/149 161/161 133/145 156/156 123/123 124/124
1090_F_P_y1986 Lake_Saimaa 124/124 104/104 134/161 152/152 194/202 186/188 200/200 137/167 108/118 109/109 177/181 139/149 161/161 133/145 156/156 123/123 124/124
1252_F_P_y1988 Lake_Saimaa 114/124 98/104 134/161 152/152 200/200 186/186 200/200 129/137 108/118 109/109 181/181 149/149 161/161 133/145 156/157 123/123 114/124
1264_F_P_y1988 Lake_Saimaa 114/124 98/104 161/161 152/152 200/200 186/188 200/200 137/137 118/118 109/109 181/181 149/149 161/161 145/145 156/157 123/123 114/124
1311_F_P_y1989 Lake_Saimaa 114/114 100/100 134/161 152/152 200/200 186/186 200/200 137/137 108/118 109/109 181/181 149/149 161/161 133/145 156/156 123/123 114/114
1325_M_P_y1990 Lake_Saimaa 114/124 98/104 134/161 152/152 202/202 186/186 200/200 129/137 118/118 105/105 179/181 149/149 161/161 133/145 156/156 123/123 114/124
1392_M_P_y1993 Lake_Saimaa 124/124 104/104 134/161 152/152 200/202 186/188 200/200 137/137 112/112 109/109 171/171 149/149 161/161 133/133 156/157 123/123 124/124
1393_F_P_y1992 Lake_Saimaa 114/124 100/100 134/161 152/152 200/202 186/186 200/200 137/137 112/118 109/109 181/181 149/149 161/161 133/145 157/169 123/123 114/124
1484_F_P_y1994 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 171/177 149/149 161/161 133/145 156/156 123/123 124/124
1550_F_P_y1995 Lake_Saimaa 114/124 100/100 134/161 152/152 200/200 186/186 200/200 137/151 108/118 109/109 179/181 139/149 161/161 133/145 156/157 123/123 114/124
1551_M_P_y1995 Lake_Saimaa 114/124 100/104 134/161 152/152 194/202 186/188 200/200 137/137 116/118 109/109 177/181 149/149 161/161 145/145 156/157 123/123 114/124
1552_F_P_y1995 Lake_Saimaa 114/114 100/104 134/134 152/152 202/202 186/188 200/200 137/139 118/118 109/109 171/177 149/149 161/161 145/145 156/169 123/123 114/114
1557_M_P_y1995 Lake_Saimaa 124/124 100/104 134/134 152/152 200/202 186/188 200/200 137/137 112/118 109/109 171/181 149/149 161/161 133/145 156/156 123/123 124/124
1690_F_P_y1996 Lake_Saimaa 114/124 100/104 134/161 152/152 202/202 186/186 200/200 137/137 108/118 109/109 171/181 149/149 161/161 145/145 156/169 123/123 114/124
1957_F_P_y1997 Lake_Saimaa 124/124 104/104 161/161 148/152 194/202 186/188 200/200 129/137 108/112 109/109 177/181 149/149 161/161 145/145 156/157 123/123 124/124
1977_F_P_y1997 Lake_Saimaa 124/124 100/100 134/161 152/152 200/202 186/188 200/200 129/137 118/118 109/109 179/181 149/149 161/161 133/145 156/169 123/123 124/124
2119_M_P_y1998 Lake_Saimaa 114/124 100/104 134/161 152/152 200/200 186/186 200/200 137/137 108/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 114/124
2120_U_P_y1998 Lake_Saimaa 114/124 100/104 134/134 152/152 202/202 186/188 200/200 129/129 108/118 109/109 181/181 149/149 161/161 133/145 156/156 123/123 114/124
2125_F_P_y1998 Lake_Saimaa 114/124 100/104 134/161 152/152 200/202 186/186 200/200 129/137 118/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 114/124
2215_M_P_y2000 Lake_Saimaa 124/124 98/104 134/161 152/152 200/202 186/186 200/200 137/137 118/118 109/109 181/181 149/149 161/161 133/145 156/157 123/123 124/124
2233_M_P_y2000 Lake_Saimaa 124/124 104/104 161/161 152/152 200/202 186/186 200/200 137/167 118/118 109/109 171/181 149/149 161/161 145/145 156/157 123/123 124/124
2266_M_P_y2001 Lake_Saimaa 114/114 100/104 161/161 152/152 200/202 186/188 200/200 137/137 108/118 109/109 181/181 149/149 161/161 133/145 156/156 119/123 114/114
2270_M_P_y2001 Lake_Saimaa 114/114 100/100 134/134 152/152 200/200 186/188 200/200 137/137 118/118 109/109 171/177 149/149 161/161 133/145 156/169 123/123 114/114
2305_F_P_y2001 Lake_Saimaa 124/124 100/104 134/161 152/152 200/202 186/186 200/200 137/137 112/118 109/109 171/171 149/149 161/161 133/145 156/156 119/123 124/124
2307_F_P_y2001 Lake_Saimaa 124/124 98/104 134/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 124/124
2343_F_P_y2003 Lake_Saimaa 124/124 100/104 134/161 152/152 200/202 186/186 200/200 137/137 112/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 124/124
2375_F_P_y2005 Lake_Saimaa 114/124 100/100 161/161 152/152 194/200 186/186 200/200 137/137 108/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 114/124
2376_M_P_y2005 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/186 200/200 137/137 108/118 109/109 NA 139/149 161/161 133/145 156/169 123/123 124/124
2395_F_P_y2006 Lake_Saimaa 124/124 100/104 161/161 152/152 202/202 186/186 200/200 137/137 112/118 109/109 177/181 149/149 161/161 133/145 156/169 123/123 124/124
2397_F_P_y2006 Lake_Saimaa 124/124 98/100 134/161 152/152 194/200 186/186 200/200 137/137 112/118 109/109 171/181 149/149 161/161 133/133 156/156 123/123 124/124
2404_M_P_y2006 Lake_Saimaa 124/124 104/104 134/161 152/152 202/202 186/188 200/200 137/167 112/112 109/109 171/171 149/149 161/161 133/145 156/156 123/123 124/124
2421_F_P_y2006 Lake_Saimaa 124/124 104/104 134/161 152/152 194/202 186/188 200/200 137/167 112/118 109/109 171/181 149/149 161/161 145/145 156/156 123/123 124/124
2445_F_P_y2007 Lake_Saimaa 114/124 100/104 134/161 152/152 202/202 186/188 200/200 135/137 112/118 109/109 177/181 139/149 161/161 145/145 156/169 123/123 114/124
2446_F_P_y2007 Lake_Saimaa 114/124 100/104 134/134 152/152 202/202 186/188 200/200 137/137 108/112 NA 181/181 149/149 161/161 145/145 156/156 123/123 114/124
2472_F_P_y2008 Lake_Saimaa 114/114 104/104 134/161 152/152 194/202 186/186 200/200 137/137 108/118 109/109 181/181 149/149 161/161 145/145 157/169 123/123 114/114
293_F_S_y1981 Lake_Saimaa 114/124 104/104 134/161 152/152 202/202 186/186 200/200 137/151 112/118 109/109 171/179 139/149 161/161 133/145 156/156 123/123 114/124
306_M_S_y1980 Lake_Saimaa 124/124 100/104 134/134 152/152 200/202 186/186 200/200 159/159 112/112 109/109 179/181 149/149 161/161 145/145 156/156 119/123 124/124
424_F_S_y1982 Lake_Saimaa 124/124 100/104 134/134 152/152 200/202 186/186 200/200 137/159 112/118 109/109 179/181 149/149 161/161 145/145 156/156 119/123 124/124
1235_M_S_y1987 Lake_Saimaa 124/124 100/104 134/161 148/152 194/202 186/188 200/200 129/161 112/118 109/109 171/181 149/149 161/161 145/145 156/157 123/123 124/124
