id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
SNP_011 St_Paul_Island 380/382 168/170 103/117 142/160 193/193 236/236 160/178 380/382
SNP_015 St_Paul_Island 392/392 164/168 91/93 162/168 193/201 234/246 160/160 392/392
SNP_020 St_Paul_Island 392/392 172/182 115/115 158/160 185/193 236/240 160/160 392/392
SNP_021 St_Paul_Island 380/380 168/178 87/103 148/160 193/195 238/240 160/160 380/380
SNP_022 St_Paul_Island 392/397 168/182 99/107 142/158 NA NA NA 392/397
SNP_023 St_Paul_Island 382/388 174/178 97/123 158/164 189/197 228/234 160/176 382/388
SNP_026 St_Paul_Island 380/384 162/168 91/91 156/158 195/203 234/240 160/160 380/384
SNP_031 St_Paul_Island 380/382 168/174 91/114 160/172 191/197 236/240 160/160 380/382
SNP_032 St_Paul_Island 380/382 168/178 99/125 142/158 185/199 234/236 160/160 380/382
SNP_033 St_Paul_Island NA NA NA 134/142 NA NA NA NA
SNP_034 St_Paul_Island 380/394 172/178 115/115 134/164 195/195 234/234 160/160 380/394
SNP_035 St_Paul_Island 382/394 178/178 99/103 134/142 191/197 230/232 160/160 382/394
SNP_042 St_Paul_Island 380/394 158/166 115/115 156/160 189/193 228/238 156/160 380/394
SNP_043 St_Paul_Island 380/382 174/174 91/115 140/156 195/199 238/242 156/160 380/382
SNP_045 St_Paul_Island 390/392 174/178 103/105 158/162 191/193 238/240 160/160 390/392
SNP_047 St_Paul_Island 380/392 162/178 99/103 134/158 191/193 230/236 160/160 380/392
SNP_051 St_Paul_Island 380/380 172/180 103/103 158/160 193/205 234/240 160/160 380/380
SNP_053 St_Paul_Island 386/392 164/170 103/115 140/160 187/199 238/242 160/160 386/392
SNP_055 St_Paul_Island 382/394 172/174 91/117 160/162 193/197 234/236 160/160 382/394
SNP_056 St_Paul_Island 386/391 162/174 99/113 140/160 183/201 230/240 160/160 386/391
SNP_058 St_Paul_Island 380/392 170/172 91/99 NA 187/193 240/240 160/160 380/392
SNP_059 St_Paul_Island 380/380 168/174 93/101 134/160 185/189 238/242 160/160 380/380
SNP_061 St_Paul_Island 380/384 170/174 99/101 156/158 177/191 234/234 160/160 380/384
SNP_062 St_Paul_Island 380/382 172/174 105/107 156/166 191/199 230/234 160/180 380/382
SNP_067 St_Paul_Island 380/394 168/176 117/117 142/160 177/203 234/236 160/160 380/394
SNP_069 St_Paul_Island 382/386 172/174 103/115 140/158 193/197 232/236 160/184 382/386
SNP_070 St_Paul_Island 380/380 158/168 103/123 156/158 195/197 234/236 160/160 380/380
SNP_071 St_Paul_Island 380/392 172/174 87/117 160/160 185/189 236/238 160/160 380/392
SNP_072 St_Paul_Island 380/394 174/176 91/99 140/162 185/187 234/238 160/180 380/394
SNP_074 St_Paul_Island 382/394 170/174 91/99 142/162 185/185 234/234 160/160 382/394
SNP_075 St_Paul_Island 380/392 168/168 99/107 162/168 197/197 232/234 160/160 380/392
SNP_077 St_Paul_Island 380/392 162/168 103/105 160/162 185/185 230/236 176/184 380/392
SNP_078 St_Paul_Island 380/382 168/168 99/107 154/160 185/199 238/238 174/176 380/382
SNP_080 St_Paul_Island 378/396 162/174 93/103 160/160 185/185 238/238 160/160 378/396
SNP_082 St_Paul_Island 380/392 162/174 91/91 160/162 187/189 232/234 160/160 380/392
SNP_083 St_Paul_Island 380/382 174/176 99/117 164/166 185/185 234/238 160/160 380/382
SNP_084 St_Paul_Island 392/397 170/172 93/115 140/142 185/197 232/238 160/160 392/397
SNP_086 St_Paul_Island 380/380 160/172 103/115 144/158 193/199 230/234 160/176 380/380
SNP_091 St_Paul_Island 380/394 160/178 97/115 162/162 197/203 NA 160/160 380/394
SNP_097 St_Paul_Island 380/394 170/178 91/115 158/164 177/193 234/240 156/188 380/394
SNP_099 St_Paul_Island NA NA NA 134/160 189/193 234/234 160/176 NA
SNP_102 St_Paul_Island 382/394 182/182 103/113 142/142 185/185 228/238 160/160 382/394
SNP_103 St_Paul_Island 394/394 174/182 99/125 156/160 183/191 234/234 160/160 394/394
SNP_107 St_Paul_Island 382/392 168/174 99/117 142/162 187/199 230/234 160/160 382/392
SNP_110 St_Paul_Island 380/384 162/172 103/103 140/160 195/195 230/250 160/186 380/384
SNP_111 St_Paul_Island 380/394 160/178 85/117 142/142 191/193 228/238 160/184 380/394
